user,bot,user_length,bot_length,user_sentiment,bot_sentiment,user_word_frequency,bot_word_frequency
Parents: What is FERPA?,"FERPA, also known as the Buckley Amendment, is the Family Educational Rights and Privacy Act. It is federal legislation designed to protect the privacy of students by limiting third party access to student education records. When students enter USF, regardless of their age, all rights to inspect and review educational records transfer from parents to students.",4,56,0.0,0.16666666666666666,"{'parents:': 1, 'what': 1, 'is': 1, 'ferpa?': 1}","{'ferpa,': 1, 'also': 1, 'known': 1, 'as': 1, 'the': 3, 'buckley': 1, 'amendment,': 1, 'is': 2, 'family': 1, 'educational': 2, 'rights': 2, 'and': 2, 'privacy': 2, 'act.': 1, 'it': 1, 'federal': 1, 'legislation': 1, 'designed': 1, 'to': 4, 'protect': 1, 'of': 2, 'students': 2, 'by': 1, 'limiting': 1, 'third': 1, 'party': 1, 'access': 1, 'student': 1, 'education': 1, 'records.': 1, 'when': 1, 'enter': 1, 'usf,': 1, 'regardless': 1, 'their': 1, 'age,': 1, 'all': 1, 'inspect': 1, 'review': 1, 'records': 1, 'transfer': 1, 'from': 1, 'parents': 1, 'students.': 1}"
Parents: May I have access to my student's grades?,"Families may not have access to their student’s grades without the written permission of their student. FERPA provides students with the significant rights of access to their educational records—including grades—as well as protects the privacy of student records. Only material classified as Directory Information, as defined in the general catalog, can be released without student consent. The permission to disclosed non-directory information to a third party, including parents, must be filed with the Registrar’s office and any other office that holds records regarding the student. Students may gain access to any written academic records directly concerning them. There are some records, however, such as financial records of parents, to which a student has no right of access. Students can visit student consent instructions on how to grant USF permission to release information to authorized individuals.",9,135,0.0,0.0461038961038961,"{'parents:': 1, 'may': 1, 'i': 1, 'have': 1, 'access': 1, 'to': 1, 'my': 1, ""student's"": 1, 'grades?': 1}","{'families': 1, 'may': 2, 'not': 1, 'have': 1, 'access': 3, 'to': 9, 'their': 3, 'student’s': 1, 'grades': 1, 'without': 2, 'the': 7, 'written': 2, 'permission': 3, 'of': 5, 'student.': 2, 'ferpa': 1, 'provides': 1, 'students': 3, 'with': 2, 'significant': 1, 'rights': 1, 'educational': 1, 'records—including': 1, 'grades—as': 1, 'well': 1, 'as': 4, 'protects': 1, 'privacy': 1, 'student': 4, 'records.': 1, 'only': 1, 'material': 1, 'classified': 1, 'directory': 1, 'information,': 1, 'defined': 1, 'in': 1, 'general': 1, 'catalog,': 1, 'can': 2, 'be': 2, 'released': 1, 'consent.': 1, 'disclosed': 1, 'non-directory': 1, 'information': 2, 'a': 2, 'third': 1, 'party,': 1, 'including': 1, 'parents,': 2, 'must': 1, 'filed': 1, 'registrar’s': 1, 'office': 2, 'and': 1, 'any': 2, 'other': 1, 'that': 1, 'holds': 1, 'records': 3, 'regarding': 1, 'gain': 1, 'academic': 1, 'directly': 1, 'concerning': 1, 'them.': 1, 'there': 1, 'are': 1, 'some': 1, 'records,': 1, 'however,': 1, 'such': 1, 'financial': 1, 'which': 1, 'has': 1, 'no': 1, 'right': 1, 'access.': 1, 'visit': 1, 'consent': 1, 'instructions': 1, 'on': 1, 'how': 1, 'grant': 1, 'usf': 1, 'release': 1, 'authorized': 1, 'individuals.': 1}"
Parents: How will I know if my student is subject to University disciplinary action?,Student disciplinary records are protected under FERPA. The best practice is for your student to inform you of any disciplinary charges directly. Students can also authorize the release of any or all the information in their disciplinary files.,14,38,-0.033333333333333326,0.55,"{'parents:': 1, 'how': 1, 'will': 1, 'i': 1, 'know': 1, 'if': 1, 'my': 1, 'student': 1, 'is': 1, 'subject': 1, 'to': 1, 'university': 1, 'disciplinary': 1, 'action?': 1}","{'student': 2, 'disciplinary': 3, 'records': 1, 'are': 1, 'protected': 1, 'under': 1, 'ferpa.': 1, 'the': 3, 'best': 1, 'practice': 1, 'is': 1, 'for': 1, 'your': 1, 'to': 1, 'inform': 1, 'you': 1, 'of': 2, 'any': 2, 'charges': 1, 'directly.': 1, 'students': 1, 'can': 1, 'also': 1, 'authorize': 1, 'release': 1, 'or': 1, 'all': 1, 'information': 1, 'in': 1, 'their': 1, 'files.': 1}"
Parents: Does my student need a car?,"Students do not need cars. San Francisco has a world class transportation system which includes: MUNI passes (local buses, street cars) are provided to all undergrad students; BART (Bay Area Rapid Transit) that includes a rail system that connects the major San Francisco metropolitan area as well as two major airports; Cal Train that links San Francisco with San Francisco Peninsula cities and communities; bike racks are located throughout campus; Zimride is an online ridesharing community where students, faculty, and staff can find one another to carpool together; Zipcar is a car sharing program that allows Zipcar members to rent a car by the hour or by the day at discounted rates, which includes gas, mileage, and insurance. Zipcars are located at two convenient locations on campus.",7,127,0.0,0.041666666666666664,"{'parents:': 1, 'does': 1, 'my': 1, 'student': 1, 'need': 1, 'a': 1, 'car?': 1}","{'students': 1, 'do': 1, 'not': 1, 'need': 1, 'cars.': 1, 'san': 4, 'francisco': 4, 'has': 1, 'a': 4, 'world': 1, 'class': 1, 'transportation': 1, 'system': 2, 'which': 2, 'includes:': 1, 'muni': 1, 'passes': 1, '(local': 1, 'buses,': 1, 'street': 1, 'cars)': 1, 'are': 3, 'provided': 1, 'to': 3, 'all': 1, 'undergrad': 1, 'students;': 1, 'bart': 1, '(bay': 1, 'area': 2, 'rapid': 1, 'transit)': 1, 'that': 4, 'includes': 2, 'rail': 1, 'connects': 1, 'the': 3, 'major': 2, 'metropolitan': 1, 'as': 2, 'well': 1, 'two': 2, 'airports;': 1, 'cal': 1, 'train': 1, 'links': 1, 'with': 1, 'peninsula': 1, 'cities': 1, 'and': 3, 'communities;': 1, 'bike': 1, 'racks': 1, 'located': 2, 'throughout': 1, 'campus;': 1, 'zimride': 1, 'is': 2, 'an': 1, 'online': 1, 'ridesharing': 1, 'community': 1, 'where': 1, 'students,': 1, 'faculty,': 1, 'staff': 1, 'can': 1, 'find': 1, 'one': 1, 'another': 1, 'carpool': 1, 'together;': 1, 'zipcar': 2, 'car': 2, 'sharing': 1, 'program': 1, 'allows': 1, 'members': 1, 'rent': 1, 'by': 2, 'hour': 1, 'or': 1, 'day': 1, 'at': 2, 'discounted': 1, 'rates,': 1, 'gas,': 1, 'mileage,': 1, 'insurance.': 1, 'zipcars': 1, 'convenient': 1, 'locations': 1, 'on': 1, 'campus.': 1}"
Parents: Do we apply for financial aid each year to be offered need-based financial aid?,"Yes, the FAFSA application is a yearly form that becomes available at www.fafsa.gov beginning January 1 each year. It is very important for new students to file the appropriate year FAFSA by February 1 and continuing USF students by March 2 each year to be considered timely and to have their eligibility considered for limited USF need-based grant funding for the following academic year. FAFSA applications filed after the priority filing deadlines are considered late and may affect eligibility for USF need-based grants and scholarships.",15,85,0.0,0.14811688311688312,"{'parents:': 1, 'do': 1, 'we': 1, 'apply': 1, 'for': 1, 'financial': 2, 'aid': 1, 'each': 1, 'year': 1, 'to': 1, 'be': 1, 'offered': 1, 'need-based': 1, 'aid?': 1}","{'yes,': 1, 'the': 4, 'fafsa': 3, 'application': 1, 'is': 2, 'a': 1, 'yearly': 1, 'form': 1, 'that': 1, 'becomes': 1, 'available': 1, 'at': 1, 'www.fafsa.gov': 1, 'beginning': 1, 'january': 1, '1': 2, 'each': 2, 'year.': 2, 'it': 1, 'very': 1, 'important': 1, 'for': 4, 'new': 1, 'students': 2, 'to': 3, 'file': 1, 'appropriate': 1, 'year': 2, 'by': 2, 'february': 1, 'and': 4, 'continuing': 1, 'usf': 3, 'march': 1, '2': 1, 'be': 1, 'considered': 3, 'timely': 1, 'have': 1, 'their': 1, 'eligibility': 2, 'limited': 1, 'need-based': 2, 'grant': 1, 'funding': 1, 'following': 1, 'academic': 1, 'applications': 1, 'filed': 1, 'after': 1, 'priority': 1, 'filing': 1, 'deadlines': 1, 'are': 1, 'late': 1, 'may': 1, 'affect': 1, 'grants': 1, 'scholarships.': 1}"
Parents: What is the difference between grants or scholarships and loans?,"The University’s tuition grants and scholarships are gifts that do not need to be repaid. Student loans must be repaid so each borrower should review the terms and conditions of each loan offered before accepting it. In most cases, repayment is deferred until the student is no longer enrolled at least half-time.",11,52,0.0,0.1,"{'parents:': 1, 'what': 1, 'is': 1, 'the': 1, 'difference': 1, 'between': 1, 'grants': 1, 'or': 1, 'scholarships': 1, 'and': 1, 'loans?': 1}","{'the': 3, 'university’s': 1, 'tuition': 1, 'grants': 1, 'and': 2, 'scholarships': 1, 'are': 1, 'gifts': 1, 'that': 1, 'do': 1, 'not': 1, 'need': 1, 'to': 1, 'be': 2, 'repaid.': 1, 'student': 2, 'loans': 1, 'must': 1, 'repaid': 1, 'so': 1, 'each': 2, 'borrower': 1, 'should': 1, 'review': 1, 'terms': 1, 'conditions': 1, 'of': 1, 'loan': 1, 'offered': 1, 'before': 1, 'accepting': 1, 'it.': 1, 'in': 1, 'most': 1, 'cases,': 1, 'repayment': 1, 'is': 2, 'deferred': 1, 'until': 1, 'no': 1, 'longer': 1, 'enrolled': 1, 'at': 1, 'least': 1, 'half-time.': 1}"
Parents: Our student has been selected for verification. Do we have to complete and return a verification worksheet?,"Yes, you must complete the worksheet (may be printed from our website) and return it with the required tax documents. The financial aid award is not final and no aid will be credited towards charges or paid to the Student Account until verification is complete.",18,45,0.1,0.05,"{'parents:': 1, 'our': 1, 'student': 1, 'has': 1, 'been': 1, 'selected': 1, 'for': 1, 'verification.': 1, 'do': 1, 'we': 1, 'have': 1, 'to': 1, 'complete': 1, 'and': 1, 'return': 1, 'a': 1, 'verification': 1, 'worksheet?': 1}","{'yes,': 1, 'you': 1, 'must': 1, 'complete': 1, 'the': 4, 'worksheet': 1, '(may': 1, 'be': 2, 'printed': 1, 'from': 1, 'our': 1, 'website)': 1, 'and': 2, 'return': 1, 'it': 1, 'with': 1, 'required': 1, 'tax': 1, 'documents.': 1, 'financial': 1, 'aid': 2, 'award': 1, 'is': 2, 'not': 1, 'final': 1, 'no': 1, 'will': 1, 'credited': 1, 'towards': 1, 'charges': 1, 'or': 1, 'paid': 1, 'to': 1, 'student': 1, 'account': 1, 'until': 1, 'verification': 1, 'complete.': 1}"
Parents: When is financial aid going to be paid to the USF student account?,"At the beginning of each semester and once the student has enrolled properly and completed all the requirements for disbursement, the financial aid will be paid to the USF student account. Students can regularly view their Unsatisfied Requirements in the Financial Aid section of their USFConnect account.",14,47,0.0,0.0,"{'parents:': 1, 'when': 1, 'is': 1, 'financial': 1, 'aid': 1, 'going': 1, 'to': 2, 'be': 1, 'paid': 1, 'the': 1, 'usf': 1, 'student': 1, 'account?': 1}","{'at': 1, 'the': 6, 'beginning': 1, 'of': 2, 'each': 1, 'semester': 1, 'and': 2, 'once': 1, 'student': 2, 'has': 1, 'enrolled': 1, 'properly': 1, 'completed': 1, 'all': 1, 'requirements': 2, 'for': 1, 'disbursement,': 1, 'financial': 2, 'aid': 2, 'will': 1, 'be': 1, 'paid': 1, 'to': 1, 'usf': 1, 'account.': 2, 'students': 1, 'can': 1, 'regularly': 1, 'view': 1, 'their': 2, 'unsatisfied': 1, 'in': 1, 'section': 1, 'usfconnect': 1}"
Parents: We are expecting to receive a refund from financial aid. When and how will these funds be made available?,"Credit balances created by federal student aid are refunded by check unless a student’s Direct Deposit information is provided to Student Enrollment Services/Student Accounts. For Federal Direct parent PLUS Loans, credit balances are refunded by check to the parent borrower unless the borrower authorizes a refund to be made to the student. In general, a refund will be available within 14 days of disbursement of financial aid into the student account.",20,71,0.2,0.13,"{'parents:': 1, 'we': 1, 'are': 1, 'expecting': 1, 'to': 1, 'receive': 1, 'a': 1, 'refund': 1, 'from': 1, 'financial': 1, 'aid.': 1, 'when': 1, 'and': 1, 'how': 1, 'will': 1, 'these': 1, 'funds': 1, 'be': 1, 'made': 1, 'available?': 1}","{'credit': 2, 'balances': 2, 'created': 1, 'by': 3, 'federal': 2, 'student': 3, 'aid': 2, 'are': 2, 'refunded': 2, 'check': 2, 'unless': 2, 'a': 3, 'student’s': 1, 'direct': 2, 'deposit': 1, 'information': 1, 'is': 1, 'provided': 1, 'to': 4, 'enrollment': 1, 'services/student': 1, 'accounts.': 1, 'for': 1, 'parent': 2, 'plus': 1, 'loans,': 1, 'the': 4, 'borrower': 2, 'authorizes': 1, 'refund': 2, 'be': 2, 'made': 1, 'student.': 1, 'in': 1, 'general,': 1, 'will': 1, 'available': 1, 'within': 1, '14': 1, 'days': 1, 'of': 2, 'disbursement': 1, 'financial': 1, 'into': 1, 'account.': 1}"
Parents: How can I make a gift?,"A wide range of options exists for making a gift to the University of San Francisco, the most convenient of which is making a gift online. Alternatively, please visit How to Give to learn more about the other options we have available.",7,42,0.0,0.23500000000000001,"{'parents:': 1, 'how': 1, 'can': 1, 'i': 1, 'make': 1, 'a': 1, 'gift?': 1}","{'a': 3, 'wide': 1, 'range': 1, 'of': 3, 'options': 2, 'exists': 1, 'for': 1, 'making': 2, 'gift': 2, 'to': 3, 'the': 3, 'university': 1, 'san': 1, 'francisco,': 1, 'most': 1, 'convenient': 1, 'which': 1, 'is': 1, 'online.': 1, 'alternatively,': 1, 'please': 1, 'visit': 1, 'how': 1, 'give': 1, 'learn': 1, 'more': 1, 'about': 1, 'other': 1, 'we': 1, 'have': 1, 'available.': 1}"
